                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4429,                 1.6309,                  1.539,                0.53525,                0.53049,                0.55774,                0.32896,                 1.4077,                 1.8628,                 1.3773,             0.00064815,             0.00064815,             0.00064815
                      2,                 1.0206,                0.94548,                  1.211,                0.56526,                   0.75,                 0.6749,                0.43626,                 1.1323,                 1.3975,                 1.2245,              0.0011846,              0.0011846,              0.0011846
                      3,                0.90252,                0.83441,                  1.157,                0.75045,                0.81098,                0.81918,                0.61291,                0.95796,                 1.0201,                 1.0813,              0.0015891,              0.0015891,              0.0015891
                      4,                0.84964,                0.75013,                 1.1119,                0.76078,                0.83385,                0.87446,                0.62523,                 1.0229,                 1.0236,                 1.1202,               0.001406,               0.001406,               0.001406
                      5,                 0.7658,                0.67588,                  1.074,                0.84602,                0.93803,                0.91276,                0.74935,                0.71646,                0.71253,                0.94422,               0.001208,               0.001208,               0.001208
                      6,                 0.6798,                0.61991,                 1.0319,                0.82733,                0.85976,                0.90683,                0.73926,                0.75257,                0.69621,                0.96997,                0.00101,                0.00101,                0.00101
                      7,                0.64077,                0.57401,                 1.0055,                 0.8617,                0.91182,                0.92796,                0.77248,                 0.6644,                0.59963,                0.92073,               0.000812,               0.000812,               0.000812
                      8,                0.57032,                0.53282,                0.97458,                0.89534,                0.88678,                0.94599,                0.79993,                0.61508,                0.55797,                0.92176,               0.000614,               0.000614,               0.000614
                      9,                0.52576,                0.49072,                0.95737,                0.89831,                0.92683,                0.94563,                0.81635,                0.62814,                0.54426,                0.92323,               0.000416,               0.000416,               0.000416
                     10,                0.50126,                 0.4699,                0.94382,                0.90125,                0.92073,                0.95467,                0.83572,                0.56298,                 0.5296,                0.90151,               0.000218,               0.000218,               0.000218
